email,password,first_name,last_name,phone,address,city,zip_code,country,date_joined,pet_name,pet_type,pet_gender,pet_breed,pet_neutered,pet_age_years,pet_age_months,pet_weight,pet_body_type,pet_activity_level,pet_food_types,pet_food_feeling,pet_food_importance
cem.yildiz799@outlook.com,CeYil92@2024,Cem,Yıldız,+90 533 708 76 90,Turan Güneş Blv 204,Mersin,33817,Turkey,2025-10-10T19:38:04,,,,,,,,,,,,,
onur.demir@outlook.com,OnDem32#2024,Onur,Demir,+90 530 752 94 43,Bağdat Cd 171,Istanbul,34526,Turkey,2025-10-10T20:21:39,,,,,,,,,,,,,
deniz.kilic421@gmail.com,DeKil67$2024,Deniz,Kılıç,+90 533 360 87 04,Cumhuriyet Cd 28,Istanbul,34901,Turkey,2025-10-10T20:24:20,,,,,,,,,,,,,
deniz.aksoy@gmail.com,DeAks28$2024,Deniz,Aksoy,+90 531 650 04 28,İnönü Cd 50,Istanbul,34121,Turkey,2025-10-10T21:03:54,,,,,,,,,,,,,
bright.sparrow_3720@icloud.com,CeAyd88@2025,Cem,Aydın,+90 535 759 13 47,İstiklal Cd 130,Izmir,35091,Turkey,2025-10-10T21:32:57,,,,,,,,,,,,,
yusuf.polat587@gmail.com,YuPol30!2025,Yusuf,Polat,+90 534 778 32 57,Halaskargazi Cd 220,Istanbul,34290,Turkey,2025-10-10T22:42:52,,,,,,,,,,,,,
zeynep.sahin539@yahoo.com,ZeSah49@2024,Zeynep,Şahin,+90 534 669 45 56,Atatürk Blv 47,Istanbul,34538,Turkey,2025-10-10T23:05:27,,,,,,,,,,,,,
mahsa.hosseini@gmail.com,MaHos23#2024,Mahsa,Hosseini,+98 0919 8869584,Motahari St 159,Tehran,9719076780,Iran,2025-10-10T23:25:41,,,,,,,,,,,,,
ece.yildiz960@gmail.com,EcYil16@2025,Ece,Yıldız,+90 539 198 82 01,Atatürk Blv 212,Istanbul,34749,Turkey,2025-10-11T01:18:04,,,,,,,,,,,,,
anne.smit891@tutanota.com,AnSmi31@2024,Anne,Smit,+31 6 1033 5653,Nieuwezijds Voorburgwal 59,Leiden,2307 11,Netherlands,2025-10-11T01:55:29,,,,,,,,,,,,,
lisa.kuiper262@gmail.com,LiKui76@2025,Lisa,Kuiper,+31 6 6772 3281,Nieuwezijds Voorburgwal 118,Rotterdam,3031 12,Netherlands,2025-10-11T02:14:26,,,,,,,,,,,,,
milan.vanloon828@proton.me,Mivan91#2024,Milan,van Loon,+31 6 2076 5869,Coolsingel 159,Amsterdam,1003 54,Netherlands,2025-10-11T03:04:49,Leo,Dog,Female,Cocker Spaniel,True,4.0,1.0,14.7,Ideal,Very Active,Raw food,Picky eater,Very important
paul.kowalski@gmail.com,PaKow45!2025,Paul,Kowalski,+43 690 9261968,Ringstraße 212,Vienna,1010,Austria,2025-10-11T03:05:58,,,,,,,,,,,,,
swift.koala_8996@yahoo.com,HeKos71!2025,Heidi,Koskinen,+358 044 5141241,Hämeenkatu 91,Helsinki,00022,Finland,2025-10-11T04:13:24,,,,,,,,,,,,,
swift.eagle_8823@fastmail.com,AnKos12$2025,Antti,Koskinen,+358 041 5079547,Itäkatu 172,Kuopio,70884,Finland,2025-10-11T04:20:13,,,,,,,,,,,,,
otter3262@gmail.com,CaErd87#2025,Cansu,Erdoğan,+90 539 548 70 04,Turan Güneş Blv 149,Istanbul,34962,Turkey,2025-10-11T04:24:11,,,,,,,,,,,,,
gizem.aydin@gmail.com,GiAyd49#2025,Gizem,Aydın,+90 533 469 19 95,İstiklal Cd 234,Ankara,06661,Turkey,2025-10-11T05:02:31,Bailey,Dog,Male,German Shepherd,True,8.0,4.0,34.1,Underweight,Moderately Active,Raw food,Content and satisfied,Very important
daan.vandermeer782@gmail.com,Davan77@2024,Daan,van der Meer,+31 6 2730 9532,Nieuwezijds Voorburgwal 80,Amsterdam,1029 28,Netherlands,2025-10-11T05:11:18,,,,,,,,,,,,,
mert.kilic136@eurogrid.tr,MeKil41@2024,Mert,Kılıç,+90 532 533 41 45,İnönü Cd 54,Istanbul,34929,Turkey,2025-10-11T05:41:16,Mocha,Cat,Male,British Shorthair,False,7.0,2.0,4.1,Underweight,Very Active,"Dry food, Wet food",Always hungry,Very important
cem.arslan@fastmail.com,CeArs54@2024,Cem,Arslan,+90 535 672 17 00,Bağdat Cd 242,Istanbul,34074,Turkey,2025-10-11T05:46:38,,,,,,,,,,,,,
swift.panda_4368@outlook.com,SaKaz67$2024,Sara,Kazemi,+98 0901 4048326,Pasdaran St 158,Tehran,0865796459,Iran,2025-10-11T05:57:49,,,,,,,,,,,,,
cem.kaya911@outlook.com,CeKay29@2025,Cem,Kaya,+90 537 402 26 35,Nispetiye Cd 75,Antalya,07003,Turkey,2025-10-11T06:37:28,,,,,,,,,,,,,
hilal.kilic252@outlook.com,HiKil32@2024,Hilal,Kılıç,+90 535 404 14 23,Halaskargazi Cd 140,Istanbul,34641,Turkey,2025-10-11T07:12:35,Pepper,Dog,Female,Cocker Spaniel,True,9.0,6.0,14.2,Ideal,Less Active,Raw food,Easily distracted,Important
lena.moreau@saha.com,LeMor86@2024,Lena,Moreau,+34 649 666 791,La Rambla 91,Barcelona,08001,Spain,2025-10-11T07:42:44,Mocha,Dog,Female,Beagle,False,8.0,5.0,12.9,Muscular,Less Active,"Wet food, Raw food",Happy and energetic,Important
ayse.yalcin@gmail.com,AyYal89$2024,Ayşe,Yalçın,+90 501 875 75 77,Bağdat Cd 176,Adana,01034,Turkey,2025-10-11T09:30:14,Max,Cat,Male,Persian,True,13.0,10.0,5.4,Muscular,Very Active,Dry food,Calm and balanced,Very important
gizem.yildiz@gmail.com,GiYil67$2024,Gizem,Yıldız,+90 534 729 46 60,Bağdat Cd 237,Istanbul,34358,Turkey,2025-10-11T09:31:30,,,,,,,,,,,,,
seda.kaya@gmail.com,SeKay25#2025,Seda,Kaya,+90 536 919 47 28,Atatürk Blv 76,Istanbul,34458,Turkey,2025-10-11T09:49:29,,,,,,,,,,,,,
emre.aydin455@yahoo.com,EmAyd81!2024,Emre,Aydın,+90 501 935 88 08,Nispetiye Cd 246,Istanbul,34604,Turkey,2025-10-11T10:42:58,,,,,,,,,,,,,
silentfalcon857@gmail.com,AyPol10!2024,Ayşe,Polat,+90 534 294 61 33,Turan Güneş Blv 154,Istanbul,34369,Turkey,2025-10-11T11:14:56,,,,,,,,,,,,,
